NO_OF_FRAMES	11193
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-07-05, 14:21:58	193331.70697780
DATA_INCLUDED	6D
BODY_NAMES	Ice 2 V2	Ice 3
Frame	Time	Ice 2 V2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	Ice 3 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00500	-10.87094	22.80523	2.18218	0.12550	-0.08938	-7.83274	0.32492	0.99067	0.13628	0.00156	-0.13628	0.99067	0.00219	-0.00125	-0.00238	1.00000		-6.50195	7.91441	3.14905	0.10502	0.06380	-2.26748	0.38642	0.99922	0.03956	-0.00111	-0.03956	0.99922	0.00183	0.00119	-0.00179	1.00000	
2	0.01000	-10.86914	22.79918	2.25004	0.08727	-0.10282	-7.83033	0.32645	0.99067	0.13624	0.00179	-0.13624	0.99067	0.00152	-0.00157	-0.00175	1.00000		-6.57418	8.00622	3.14135	0.12758	0.09965	-2.26490	0.40589	0.99922	0.03952	-0.00174	-0.03952	0.99922	0.00223	0.00183	-0.00216	1.00000	
3	0.01500	-10.82877	22.81702	2.30740	0.05687	-0.11129	-7.83422	0.32422	0.99066	0.13631	0.00194	-0.13631	0.99067	0.00099	-0.00179	-0.00125	1.00000		-6.62055	8.09754	3.15211	0.14827	0.12621	-2.26531	0.39531	0.99922	0.03953	-0.00220	-0.03952	0.99922	0.00259	0.00230	-0.00250	0.99999	
4	0.02000	-10.77862	22.83999	2.34573	0.02430	-0.12891	-7.83402	0.31349	0.99066	0.13630	0.00225	-0.13630	0.99067	0.00042	-0.00217	-0.00073	1.00000		-6.67634	8.19848	3.14890	0.17320	0.15760	-2.25914	0.41284	0.99922	0.03942	-0.00275	-0.03941	0.99922	0.00302	0.00287	-0.00291	0.99999	
5	0.02500	-10.77542	22.87168	2.40283	-0.00344	-0.13153	-7.83708	0.33077	0.99066	0.13636	0.00230	-0.13636	0.99066	-0.00006	-0.00228	-0.00025	1.00000		-6.71561	8.31834	3.13652	0.19528	0.18853	-2.26093	0.40112	0.99922	0.03945	-0.00329	-0.03944	0.99922	0.00341	0.00342	-0.00328	0.99999	
6	0.03000	-10.76417	22.87525	2.46314	-0.03631	-0.14318	-7.83864	0.33559	0.99065	0.13638	0.00250	-0.13638	0.99066	-0.00063	-0.00256	0.00029	1.00000		-6.76562	8.37933	3.12166	0.21436	0.21542	-2.25669	0.41564	0.99922	0.03938	-0.00376	-0.03936	0.99922	0.00374	0.00390	-0.00359	0.99999	
7	0.03500	-10.72577	22.89093	2.50860	-0.06735	-0.15680	-7.83469	0.33545	0.99066	0.13631	0.00274	-0.13631	0.99067	-0.00118	-0.00287	0.00079	1.00000		-6.81262	8.50985	3.11997	0.23802	0.24431	-2.25744	0.41176	0.99921	0.03939	-0.00426	-0.03937	0.99922	0.00415	0.00442	-0.00398	0.99998	
8	0.04000	-10.69241	22.82157	2.59166	-0.11794	-0.18260	-7.81782	0.32253	0.99070	0.13602	0.00319	-0.13602	0.99070	-0.00206	-0.00344	0.00161	0.99999		-6.85353	8.57689	3.09170	0.25574	0.27174	-2.25636	0.40056	0.99921	0.03937	-0.00474	-0.03935	0.99922	0.00446	0.00491	-0.00427	0.99998	
9	0.04500	-10.65822	22.82335	2.64251	-0.14794	-0.18879	-7.81149	0.32900	0.99072	0.13591	0.00330	-0.13591	0.99072	-0.00258	-0.00362	0.00211	0.99999		-6.91702	8.66046	3.07564	0.27554	0.30137	-2.25403	0.40926	0.99921	0.03933	-0.00526	-0.03930	0.99922	0.00481	0.00544	-0.00460	0.99997	
10	0.05000	-10.60925	22.85461	2.68569	-0.17593	-0.19952	-7.81319	0.33130	0.99071	0.13594	0.00348	-0.13593	0.99071	-0.00307	-0.00387	0.00257	0.99999		-6.94647	8.75426	3.04785	0.29425	0.32933	-2.25103	0.41384	0.99921	0.03928	-0.00575	-0.03925	0.99922	0.00514	0.00595	-0.00491	0.99997	
11	0.05500	-10.57353	22.86986	2.71857	-0.20196	-0.20624	-7.81292	0.34125	0.99071	0.13594	0.00360	-0.13593	0.99071	-0.00352	-0.00405	0.00300	0.99999		-6.99454	8.83895	3.00953	0.31287	0.35458	-2.25214	0.39919	0.99921	0.03930	-0.00619	-0.03926	0.99921	0.00546	0.00640	-0.00521	0.99997	
12	0.06000	-10.58201	22.85782	2.76254	-0.23072	-0.21037	-7.81491	0.33624	0.99071	0.13597	0.00367	-0.13596	0.99071	-0.00403	-0.00419	0.00349	0.99999		-7.00679	8.91783	2.98431	0.32949	0.37787	-2.24963	0.40654	0.99921	0.03925	-0.00659	-0.03921	0.99921	0.00575	0.00682	-0.00549	0.99996	
13	0.06500	-10.51457	22.89722	2.78762	-0.25494	-0.22169	-7.81464	0.33566	0.99071	0.13597	0.00387	-0.13595	0.99071	-0.00445	-0.00444	0.00388	0.99998		-7.04825	8.97671	2.94699	0.34352	0.40432	-2.24701	0.40812	0.99921	0.03921	-0.00706	-0.03916	0.99921	0.00600	0.00729	-0.00571	0.99996	
14	0.07000	-10.51529	22.89872	2.82003	-0.27991	-0.22313	-7.81725	0.33567	0.99070	0.13601	0.00389	-0.13599	0.99070	-0.00489	-0.00452	0.00431	0.99998		-7.10982	9.05055	2.89930	0.35943	0.43036	-2.24851	0.41730	0.99920	0.03923	-0.00751	-0.03919	0.99921	0.00627	0.00775	-0.00597	0.99995	
15	0.07500	-10.49667	22.91309	2.84772	-0.30453	-0.23149	-7.81727	0.33985	0.99070	0.13601	0.00404	-0.13599	0.99070	-0.00531	-0.00473	0.00472	0.99998		-7.14009	9.10166	2.84855	0.37190	0.45171	-2.24419	0.41976	0.99920	0.03916	-0.00788	-0.03911	0.99921	0.00649	0.00813	-0.00618	0.99995	
16	0.08000	-10.48581	22.93738	2.87495	-0.32603	-0.23360	-7.81540	0.34315	0.99070	0.13598	0.00408	-0.13596	0.99070	-0.00569	-0.00481	0.00508	0.99998		-7.14420	9.18952	2.81225	0.38736	0.47233	-2.24403	0.41363	0.99920	0.03915	-0.00824	-0.03910	0.99921	0.00676	0.00850	-0.00643	0.99994	
