NO_OF_FRAMES	12044
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-07-05, 12:44:07	187461.08113982
DATA_INCLUDED	6D
BODY_NAMES	Ice 2 V2	Ice 3
Frame	Time	Ice 2 V2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	Ice 3 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00500	0.25930	-13.76210	-0.65822	0.24863	0.18402	-0.87219	0.17648	0.99988	0.01522	-0.00321	-0.01521	0.99987	0.00434	0.00328	-0.00429	0.99999		-1.82438	6.82470	-0.69466	0.02313	0.06604	4.41610	1.12288	0.99703	-0.07700	-0.00115	0.07700	0.99703	0.00040	0.00112	-0.00049	1.00000	
2	0.01000	0.20339	-13.71010	-0.64904	0.25067	0.18006	-0.86816	0.16089	0.99988	0.01515	-0.00314	-0.01514	0.99988	0.00437	0.00321	-0.00433	0.99999		-1.70260	6.77826	-0.76898	0.00458	0.04739	4.40876	1.08720	0.99704	-0.07687	-0.00083	0.07687	0.99704	0.00008	0.00082	-0.00014	1.00000	
3	0.01500	0.24703	-13.69696	-0.61928	0.24302	0.16391	-0.86800	0.16136	0.99988	0.01515	-0.00286	-0.01514	0.99988	0.00424	0.00292	-0.00420	0.99999		-1.66562	6.77979	-0.85072	-0.00743	0.03888	4.40397	1.09614	0.99705	-0.07679	-0.00068	0.07679	0.99705	-0.00013	0.00069	0.00008	1.00000	
4	0.02000	0.29069	-13.70552	-0.60258	0.23285	0.15110	-0.87058	0.15861	0.99988	0.01519	-0.00264	-0.01518	0.99988	0.00406	0.00270	-0.00402	0.99999		-1.65097	6.80111	-0.90029	-0.01609	0.02766	4.40126	1.08296	0.99705	-0.07674	-0.00048	0.07674	0.99705	-0.00028	0.00050	0.00024	1.00000	
5	0.02500	0.34353	-13.70822	-0.55607	0.22285	0.13043	-0.87198	0.16576	0.99988	0.01522	-0.00228	-0.01521	0.99988	0.00389	0.00234	-0.00385	0.99999		-1.61909	6.80814	-0.96286	-0.02522	0.01683	4.40052	1.07746	0.99705	-0.07673	-0.00029	0.07673	0.99705	-0.00044	0.00033	0.00042	1.00000	
6	0.03000	0.35861	-13.69580	-0.52613	0.21472	0.12171	-0.86594	0.14389	0.99988	0.01511	-0.00212	-0.01510	0.99988	0.00375	0.00218	-0.00371	0.99999		-1.55615	6.82248	-1.02080	-0.03299	0.00071	4.39765	1.05404	0.99706	-0.07668	-0.00001	0.07668	0.99706	-0.00058	0.00006	0.00057	1.00000	
7	0.03500	0.43254	-13.70420	-0.48153	0.20614	0.10265	-0.86272	0.15635	0.99989	0.01506	-0.00179	-0.01505	0.99988	0.00360	0.00185	-0.00357	0.99999		-1.49406	6.82484	-1.06796	-0.03966	-0.01240	4.39536	1.04293	0.99706	-0.07664	0.00022	0.07664	0.99706	-0.00069	-0.00016	0.00071	1.00000	
8	0.04000	0.42351	-13.70422	-0.45852	0.19635	0.09197	-0.85954	0.14492	0.99989	0.01500	-0.00161	-0.01500	0.99988	0.00343	0.00166	-0.00340	0.99999		-1.44497	6.81901	-1.11771	-0.04757	-0.02317	4.39611	1.02775	0.99706	-0.07665	0.00040	0.07665	0.99706	-0.00083	-0.00034	0.00086	1.00000	
9	0.04500	0.48264	-13.69218	-0.41381	0.19201	0.07318	-0.86480	0.16569	0.99989	0.01509	-0.00128	-0.01509	0.99988	0.00335	0.00133	-0.00333	0.99999		-1.42992	6.83104	-1.16277	-0.05390	-0.03328	4.39401	1.00387	0.99706	-0.07661	0.00058	0.07662	0.99706	-0.00094	-0.00051	0.00098	1.00000	
10	0.05000	0.49056	-13.67022	-0.37511	0.18683	0.06509	-0.86657	0.16020	0.99988	0.01512	-0.00114	-0.01512	0.99988	0.00326	0.00119	-0.00324	0.99999		-1.42548	6.82889	-1.21471	-0.06193	-0.04005	4.39242	1.01971	0.99706	-0.07659	0.00070	0.07659	0.99706	-0.00108	-0.00061	0.00113	1.00000	
11	0.05500	0.51299	-13.67556	-0.33723	0.17855	0.05391	-0.85868	0.15141	0.99989	0.01499	-0.00094	-0.01498	0.99988	0.00312	0.00099	-0.00310	0.99999		-1.37944	6.83823	-1.26609	-0.06643	-0.05195	4.39384	0.98813	0.99706	-0.07661	0.00091	0.07661	0.99706	-0.00116	-0.00082	0.00123	1.00000	
12	0.06000	0.55377	-13.64812	-0.31005	0.17372	0.03614	-0.86302	0.15546	0.99989	0.01506	-0.00063	-0.01506	0.99988	0.00303	0.00068	-0.00302	1.00000		-1.32112	6.85830	-1.29943	-0.06902	-0.06445	4.38822	0.99535	0.99707	-0.07651	0.00112	0.07652	0.99707	-0.00120	-0.00103	0.00129	1.00000	
13	0.06500	0.58017	-13.64260	-0.27732	0.16939	0.02794	-0.86566	0.16188	0.99989	0.01511	-0.00049	-0.01511	0.99988	0.00296	0.00053	-0.00295	1.00000		-1.25545	6.84892	-1.35430	-0.07354	-0.07684	4.38864	0.98402	0.99707	-0.07652	0.00134	0.07652	0.99707	-0.00128	-0.00124	0.00138	1.00000	
14	0.07000	0.59095	-13.63386	-0.23249	0.16358	0.01231	-0.86286	0.16856	0.99989	0.01506	-0.00021	-0.01506	0.99988	0.00286	0.00026	-0.00285	1.00000		-1.21431	6.85840	-1.39085	-0.07639	-0.09011	4.38448	0.98542	0.99707	-0.07645	0.00157	0.07645	0.99707	-0.00133	-0.00147	0.00145	1.00000	
15	0.07500	0.61815	-13.63775	-0.19576	0.15522	-0.00093	-0.85636	0.15723	0.99989	0.01495	0.00002	-0.01495	0.99988	0.00271	0.00002	-0.00271	1.00000		-1.20795	6.85353	-1.43095	-0.07924	-0.09940	4.38489	0.97596	0.99707	-0.07646	0.00173	0.07646	0.99707	-0.00138	-0.00162	0.00151	1.00000	
