NO_OF_FRAMES	12035
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-07-05, 11:54:41	184495.55533563
DATA_INCLUDED	6D
BODY_NAMES	Ice 2 V2	Ice 3
Frame	Time	Ice 2 V2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	Ice 3 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00500	2.32548	-13.93755	-0.27259	0.18625	-0.07778	-0.89726	0.23509	0.99988	0.01566	0.00136	-0.01566	0.99987	0.00325	-0.00131	-0.00327	0.99999		1.33729	6.76848	-0.63338	0.13475	0.09904	4.36013	2.01345	0.99710	-0.07603	-0.00173	0.07603	0.99710	0.00235	0.00154	-0.00248	1.00000	
2	0.01000	2.29470	-13.96736	-0.25235	0.17980	-0.08082	-0.88988	0.22322	0.99988	0.01553	0.00141	-0.01554	0.99987	0.00314	-0.00136	-0.00316	0.99999		1.33046	6.67304	-0.68944	0.12270	0.09236	4.35037	2.01214	0.99712	-0.07586	-0.00161	0.07586	0.99712	0.00214	0.00144	-0.00226	1.00000	
3	0.01500	2.29966	-13.97610	-0.23486	0.17819	-0.08834	-0.88564	0.24257	0.99988	0.01546	0.00154	-0.01546	0.99988	0.00311	-0.00149	-0.00313	0.99999		1.35378	6.65797	-0.69780	0.12215	0.08658	4.35613	2.00472	0.99711	-0.07596	-0.00151	0.07596	0.99711	0.00213	0.00134	-0.00224	1.00000	
4	0.02000	2.24846	-13.96202	-0.25228	0.18104	-0.08741	-0.89038	0.23113	0.99988	0.01554	0.00153	-0.01554	0.99987	0.00316	-0.00148	-0.00318	0.99999		1.39520	6.66918	-0.74863	0.12268	0.07754	4.35705	1.98810	0.99711	-0.07597	-0.00135	0.07597	0.99711	0.00214	0.00119	-0.00224	1.00000	
5	0.02500	2.26236	-13.96636	-0.24985	0.18231	-0.08977	-0.88814	0.22481	0.99988	0.01550	0.00157	-0.01551	0.99987	0.00318	-0.00152	-0.00321	0.99999		1.40728	6.67876	-0.77204	0.12034	0.07216	4.35477	1.99822	0.99711	-0.07593	-0.00126	0.07593	0.99711	0.00210	0.00110	-0.00219	1.00000	
6	0.03000	2.26202	-13.95955	-0.24037	0.18279	-0.09659	-0.89097	0.23376	0.99988	0.01555	0.00169	-0.01556	0.99987	0.00319	-0.00164	-0.00322	0.99999		1.42651	6.70010	-0.78461	0.12491	0.06443	4.35701	1.97484	0.99711	-0.07597	-0.00112	0.07597	0.99711	0.00218	0.00096	-0.00226	1.00000	
7	0.03500	2.26621	-13.97829	-0.22662	0.18038	-0.10165	-0.88817	0.23435	0.99988	0.01550	0.00177	-0.01551	0.99987	0.00315	-0.00173	-0.00318	0.99999		1.43610	6.67152	-0.82969	0.11833	0.05721	4.35580	1.97853	0.99711	-0.07595	-0.00100	0.07595	0.99711	0.00207	0.00084	-0.00214	1.00000	
8	0.04000	2.28066	-13.96788	-0.21921	0.18231	-0.10687	-0.89308	0.23580	0.99988	0.01559	0.00187	-0.01559	0.99987	0.00318	-0.00182	-0.00321	0.99999		1.46858	6.67151	-0.84118	0.11716	0.04926	4.35663	1.96167	0.99711	-0.07596	-0.00086	0.07597	0.99711	0.00204	0.00070	-0.00210	1.00000	
9	0.04500	2.30520	-13.96692	-0.20889	0.18235	-0.11234	-0.89259	0.23254	0.99988	0.01558	0.00196	-0.01558	0.99987	0.00318	-0.00191	-0.00321	0.99999		1.49484	6.65268	-0.88006	0.11233	0.04394	4.35676	1.98079	0.99711	-0.07597	-0.00077	0.07597	0.99711	0.00196	0.00062	-0.00201	1.00000	
10	0.05000	2.27569	-13.95958	-0.20857	0.18241	-0.11651	-0.89043	0.22817	0.99988	0.01554	0.00203	-0.01555	0.99987	0.00318	-0.00198	-0.00321	0.99999		1.48265	6.65086	-0.90467	0.11127	0.03715	4.35335	1.94162	0.99711	-0.07591	-0.00065	0.07591	0.99711	0.00194	0.00050	-0.00199	1.00000	
