NO_OF_FRAMES	12030
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-07-05, 14:26:04	193578.21935835
DATA_INCLUDED	6D
BODY_NAMES	Ice 2 V2	Ice 3
Frame	Time	Ice 2 V2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	Ice 3 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000		9.18952	9.52698	-0.25050	0.56482	-0.46206	-2.19858	0.30132	0.99923	0.03836	0.00806	-0.03844	0.99921	0.00986	-0.00768	-0.01016	0.99992	
2	0.01000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000		9.19484	9.53026	-0.18579	0.57345	-0.46983	-2.19566	0.30715	0.99923	0.03831	0.00820	-0.03839	0.99921	0.01001	-0.00781	-0.01032	0.99992	
3	0.01500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000		9.25513	9.51277	-0.09882	0.57919	-0.47644	-2.19332	0.29251	0.99923	0.03827	0.00832	-0.03835	0.99921	0.01011	-0.00792	-0.01042	0.99991	
4	0.02000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000		9.21816	9.50980	-0.03375	0.58108	-0.47775	-2.19448	0.30323	0.99923	0.03829	0.00834	-0.03837	0.99921	0.01014	-0.00794	-0.01045	0.99991	
5	0.02500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000		9.24094	9.49927	0.02431	0.58170	-0.48249	-2.19797	0.29314	0.99923	0.03835	0.00842	-0.03844	0.99921	0.01015	-0.00802	-0.01047	0.99991	
6	0.03000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000		9.29892	9.43883	0.11200	0.57933	-0.48987	-2.19515	0.29798	0.99923	0.03830	0.00855	-0.03839	0.99921	0.01011	-0.00816	-0.01043	0.99991	
7	0.03500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000		9.23738	9.44548	0.16991	0.58086	-0.48809	-2.19438	0.29686	0.99923	0.03829	0.00852	-0.03837	0.99921	0.01014	-0.00812	-0.01046	0.99991	
8	0.04000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000		9.27309	9.40491	0.23795	0.57488	-0.48910	-2.19558	0.29410	0.99923	0.03831	0.00854	-0.03839	0.99921	0.01003	-0.00815	-0.01035	0.99991	
9	0.04500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000		9.28079	9.37567	0.32080	0.57377	-0.48941	-2.19577	0.30701	0.99923	0.03831	0.00854	-0.03840	0.99921	0.01001	-0.00815	-0.01033	0.99991	
10	0.05000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000		9.23134	9.33924	0.37988	0.56485	-0.48557	-2.19865	0.30105	0.99923	0.03836	0.00847	-0.03845	0.99921	0.00986	-0.00809	-0.01018	0.99992	
11	0.05500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000		9.27238	9.29471	0.45470	0.55824	-0.48505	-2.19459	0.30874	0.99923	0.03829	0.00847	-0.03837	0.99922	0.00974	-0.00809	-0.01006	0.99992	
