NO_OF_FRAMES	12038
NO_OF_CAMERAS	8
NO_OF_BODIES	2
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-07-05, 11:26:52	182826.75804981
DATA_INCLUDED	6D
BODY_NAMES	Ice 2 V2	Ice 3
Frame	Time	Ice 2 V2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	Ice 3 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00500	1.26439	-13.90253	-1.10203	0.21638	-0.07018	-0.90423	0.22058	0.99987	0.01578	0.00122	-0.01579	0.99987	0.00378	-0.00117	-0.00380	0.99999		-1.00627	6.79626	-0.85723	0.10589	0.05707	4.04655	1.69650	0.99751	-0.07057	-0.00100	0.07057	0.99751	0.00185	0.00086	-0.00191	1.00000	
2	0.01000	1.21423	-13.84933	-1.09578	0.22591	-0.06722	-0.90246	0.26176	0.99988	0.01575	0.00117	-0.01575	0.99987	0.00394	-0.00111	-0.00396	0.99999		-1.01730	6.78651	-0.89065	0.10784	0.05319	4.04552	1.69385	0.99751	-0.07055	-0.00093	0.07055	0.99751	0.00188	0.00079	-0.00194	1.00000	
3	0.01500	1.29275	-13.89515	-1.08241	0.21833	-0.07439	-0.89971	0.24599	0.99988	0.01570	0.00130	-0.01571	0.99987	0.00381	-0.00124	-0.00383	0.99999		-0.99024	6.77947	-0.90423	0.10903	0.04975	4.04348	1.68168	0.99751	-0.07051	-0.00087	0.07051	0.99751	0.00190	0.00073	-0.00196	1.00000	
4	0.02000	1.26528	-13.87107	-1.08912	0.22407	-0.06944	-0.90506	0.25586	0.99987	0.01580	0.00121	-0.01580	0.99987	0.00391	-0.00115	-0.00393	0.99999		-0.95087	6.78320	-0.92169	0.11032	0.04663	4.04513	1.67543	0.99751	-0.07054	-0.00081	0.07054	0.99751	0.00193	0.00068	-0.00198	1.00000	
5	0.02500	1.31670	-13.86451	-1.07866	0.22494	-0.07627	-0.90050	0.26451	0.99988	0.01572	0.00133	-0.01572	0.99987	0.00393	-0.00127	-0.00395	0.99999		-0.92626	6.77653	-0.92802	0.11009	0.04393	4.04362	1.68148	0.99751	-0.07052	-0.00077	0.07052	0.99751	0.00192	0.00063	-0.00197	1.00000	
6	0.03000	1.36894	-13.89125	-1.07666	0.22251	-0.07492	-0.90754	0.26148	0.99987	0.01584	0.00131	-0.01584	0.99987	0.00388	-0.00125	-0.00390	0.99999		-0.89384	6.76762	-0.94612	0.10993	0.04014	4.04502	1.68410	0.99751	-0.07054	-0.00070	0.07054	0.99751	0.00192	0.00056	-0.00196	1.00000	
7	0.03500	1.39558	-13.85965	-1.07511	0.22440	-0.08030	-0.90210	0.26934	0.99988	0.01574	0.00140	-0.01575	0.99987	0.00392	-0.00134	-0.00394	0.99999		-0.86642	6.77668	-0.95211	0.11108	0.03752	4.04596	1.68622	0.99751	-0.07056	-0.00065	0.07056	0.99751	0.00194	0.00052	-0.00198	1.00000	
8	0.04000	1.44130	-13.87211	-1.06141	0.22279	-0.07878	-0.89878	0.24989	0.99988	0.01569	0.00137	-0.01569	0.99987	0.00389	-0.00131	-0.00391	0.99999		-0.83497	6.76960	-0.96173	0.11085	0.03364	4.04437	1.69216	0.99751	-0.07053	-0.00059	0.07053	0.99751	0.00193	0.00045	-0.00197	1.00000	
9	0.04500	1.45926	-13.89374	-1.03900	0.22128	-0.08312	-0.90649	0.26750	0.99987	0.01582	0.00145	-0.01583	0.99987	0.00386	-0.00139	-0.00388	0.99999		-0.78126	6.76842	-0.96422	0.11193	0.02624	4.04304	1.69682	0.99751	-0.07051	-0.00046	0.07051	0.99751	0.00195	0.00032	-0.00198	1.00000	
10	0.05000	1.52886	-13.89077	-1.03978	0.21892	-0.08976	-0.90153	0.25282	0.99988	0.01573	0.00157	-0.01574	0.99987	0.00382	-0.00151	-0.00384	0.99999		-0.73674	6.77794	-0.97105	0.11195	0.02441	4.04539	1.69125	0.99751	-0.07055	-0.00043	0.07055	0.99751	0.00195	0.00029	-0.00198	1.00000	
